Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;Bugs_norm
AFLgo;jpegtran;0;0;0;;
AFLgo;jpegtran;1;0;0;;
AFLgo;jpegtran;2;0;0;;
AFLgo;jpegtran;3;0;0;;
AFLgo;jpegtran;4;0;0;;
AFLgo;jpegtran;5;0;0;;
AFLgo;jpegtran;6;0;0;;
AFLgo;jpegtran;7;0;0;;
AFLgo;jpegtran;8;0;0;;
AFLgo;jpegtran;9;0;0;;
AFLgo;jpegtran;10;0;0;;
AFLgo;jpegtran;11;75024;1;;
AFLgo;jpegtran;12;0;0;;
AFLgo;jpegtran;13;0;0;;
AFLgo;jpegtran;14;0;0;;
AFLfast;jpegtran;0;69290;1;;
AFLfast;jpegtran;1;4211;1;;
AFLfast;jpegtran;2;19540;1;;
AFLfast;jpegtran;3;0;0;;
AFLfast;jpegtran;4;0;0;;
AFLfast;jpegtran;5;73696;1;;
AFLfast;jpegtran;6;13802;1;;
AFLfast;jpegtran;7;0;0;;
AFLfast;jpegtran;8;14617;1;;
AFLfast;jpegtran;9;3896;5;;
AFLfast;jpegtran;10;4025;3;;
AFLfast;jpegtran;11;11719;2;;
AFLfast;jpegtran;12;0;0;;
AFLfast;jpegtran;13;7665;2;;
AFLfast;jpegtran;14;2219;2;;
AFLplusplus;jpegtran;0;277;7;;
AFLplusplus;jpegtran;1;1079;40;;
AFLplusplus;jpegtran;2;116;13;;
AFLplusplus;jpegtran;3;2017;8;;
AFLplusplus;jpegtran;4;1064;19;;
AFLplusplus;jpegtran;5;2130;9;;
AFLplusplus;jpegtran;6;191;54;;
AFLplusplus;jpegtran;7;602;11;;
AFLplusplus;jpegtran;8;210;18;;
AFLplusplus;jpegtran;9;1821;18;;
AFLplusplus;jpegtran;10;1147;16;;
AFLplusplus;jpegtran;11;2223;9;;
AFLplusplus;jpegtran;12;1348;23;;
AFLplusplus;jpegtran;13;494;84;;
AFLplusplus;jpegtran;14;1351;27;;
fairfuzz;jpegtran;0;16979;2;;
fairfuzz;jpegtran;1;2564;3;;
fairfuzz;jpegtran;2;53;25;;
fairfuzz;jpegtran;3;4743;1;;
fairfuzz;jpegtran;4;3721;2;;
fairfuzz;jpegtran;5;0;0;;
fairfuzz;jpegtran;6;14652;2;;
fairfuzz;jpegtran;7;19518;1;;
fairfuzz;jpegtran;8;435;3;;
fairfuzz;jpegtran;9;1271;6;;
fairfuzz;jpegtran;10;7377;2;;
fairfuzz;jpegtran;11;3053;3;;
fairfuzz;jpegtran;12;3031;4;;
fairfuzz;jpegtran;13;13465;8;;
fairfuzz;jpegtran;14;3764;4;;
learnafl;jpegtran;0;41579;1;;
learnafl;jpegtran;1;70093;4;;
learnafl;jpegtran;2;33188;3;;
learnafl;jpegtran;3;27624;3;;
learnafl;jpegtran;4;11257;1;;
learnafl;jpegtran;5;16281;2;;
learnafl;jpegtran;6;51515;3;;
learnafl;jpegtran;7;6628;2;;
learnafl;jpegtran;8;15110;10;;
learnafl;jpegtran;9;40142;1;;
learnafl;jpegtran;10;78248;1;;
learnafl;jpegtran;11;3418;4;;
learnafl;jpegtran;12;542;5;;
learnafl;jpegtran;13;8135;15;;
learnafl;jpegtran;14;5418;10;;
mopt;jpegtran;0;3036;4;;
mopt;jpegtran;1;0;0;;
mopt;jpegtran;2;10429;3;;
mopt;jpegtran;3;1219;11;;
mopt;jpegtran;4;2035;6;;
mopt;jpegtran;5;9709;4;;
mopt;jpegtran;6;1015;2;;
mopt;jpegtran;7;1884;6;;
mopt;jpegtran;8;3409;5;;
mopt;jpegtran;9;5061;4;;
mopt;jpegtran;10;1059;1;;
mopt;jpegtran;11;2408;8;;
mopt;jpegtran;12;17314;2;;
mopt;jpegtran;13;4165;8;;
mopt;jpegtran;14;5482;5;;
superion;jpegtran;0;5027;2;;
superion;jpegtran;1;5874;10;;
superion;jpegtran;2;7104;10;;
superion;jpegtran;3;12299;5;;
superion;jpegtran;4;7078;5;;
superion;jpegtran;5;956;10;;
superion;jpegtran;6;2248;3;;
superion;jpegtran;7;9039;1;;
superion;jpegtran;8;4292;5;;
superion;jpegtran;9;4823;7;;
superion;jpegtran;10;23150;5;;
superion;jpegtran;11;4010;5;;
superion;jpegtran;12;4489;10;;
superion;jpegtran;13;3546;4;;
superion;jpegtran;14;7707;19;;
