Algorithm;Code;Repetition;Time_min;Bugs;Time_min_norm;;Exec
AFLgo;sqlite3;0;2990;3;0.034606481;1;1369185
AFLgo;sqlite3;1;-;-;;;1417025
AFLgo;sqlite3;2;-;-;;;1360113
AFLgo;sqlite3;3;-;-;;;724358
AFLgo;sqlite3;4;-;-;;;1366339
AFLgo;sqlite3;5;-;-;;;1363685
AFLgo;sqlite3;6;-;-;;;1369566
AFLgo;sqlite3;7;-;-;;;1357675
AFLgo;sqlite3;8;-;-;;;1348674
AFLgo;sqlite3;9;-;-;;;1357277
AFLgo;sqlite3;10;-;-;;;1348127
AFLgo;sqlite3;11;-;-;;;1354313
AFLgo;sqlite3;12;-;-;;;1351876
AFLgo;sqlite3;13;-;-;;;1351420
AFLgo;sqlite3;14;-;-;;;1350110
AFLfast;sqlite3;0;-;-;;;139004
AFLfast;sqlite3;1;-;-;;;207597
AFLfast;sqlite3;2;-;-;;;159582
AFLfast;sqlite3;3;-;-;;;166380
AFLfast;sqlite3;4;-;-;;;176198
AFLfast;sqlite3;5;-;-;;;161500
AFLfast;sqlite3;6;-;-;;;131624
AFLfast;sqlite3;7;-;-;;;155499
AFLfast;sqlite3;8;-;-;;;84986
AFLfast;sqlite3;9;-;-;;;151419
AFLfast;sqlite3;10;-;-;;;141223
AFLfast;sqlite3;11;-;-;;;159766
AFLfast;sqlite3;12;-;-;;;174753
AFLfast;sqlite3;13;-;-;;;137336
AFLfast;sqlite3;14;-;-;;;143623
AFLplusplus;sqlite3;0;-;-;;;248828
AFLplusplus;sqlite3;1;-;-;;;249920
AFLplusplus;sqlite3;2;-;-;;;249113
AFLplusplus;sqlite3;3;-;-;;;249435
AFLplusplus;sqlite3;4;-;-;;;250141
AFLplusplus;sqlite3;5;-;-;;;249598
AFLplusplus;sqlite3;6;-;-;;;247735
AFLplusplus;sqlite3;7;-;-;;;247724
AFLplusplus;sqlite3;8;-;-;;;246964
AFLplusplus;sqlite3;9;-;-;;;248062
AFLplusplus;sqlite3;10;-;-;;;246689
AFLplusplus;sqlite3;11;-;-;;;247087
AFLplusplus;sqlite3;12;-;-;;;248046
AFLplusplus;sqlite3;13;-;-;;;247100
AFLplusplus;sqlite3;14;-;-;;;248225
fairfuzz;sqlite3;0;-;-;;;1989574
fairfuzz;sqlite3;1;-;-;;;1946205
fairfuzz;sqlite3;2;-;-;;;1995017
fairfuzz;sqlite3;3;-;-;;;193974
fairfuzz;sqlite3;4;-;-;;;1948254
fairfuzz;sqlite3;5;-;-;;;1999944
fairfuzz;sqlite3;6;-;-;;;1971363
fairfuzz;sqlite3;7;-;-;;;1930547
fairfuzz;sqlite3;8;-;-;;;20002545
fairfuzz;sqlite3;9;-;-;;;1973632
fairfuzz;sqlite3;10;-;-;;;-
fairfuzz;sqlite3;11;-;-;;;1979114
fairfuzz;sqlite3;12;-;-;;;1945405
fairfuzz;sqlite3;13;-;-;;;1964235
fairfuzz;sqlite3;14;-;-;;;1977761
learnafl;sqlite3;0;-;-;;;3748574
learnafl;sqlite3;1;-;-;;;3648049
learnafl;sqlite3;2;-;-;;;3660729
learnafl;sqlite3;3;-;-;;;3654020
learnafl;sqlite3;4;-;-;;;3566011
learnafl;sqlite3;5;-;-;;;4693624
learnafl;sqlite3;6;-;-;;;3522859
learnafl;sqlite3;7;-;-;;;3435759
learnafl;sqlite3;8;-;-;;;3439008
learnafl;sqlite3;9;-;-;;;3534568
learnafl;sqlite3;10;-;-;;;3513380
learnafl;sqlite3;11;-;-;;;3523675
learnafl;sqlite3;12;-;-;;;4351661
learnafl;sqlite3;13;-;-;;;3422858
learnafl;sqlite3;14;-;-;;;3505186
mopt;sqlite3;0;-;-;;;907486
mopt;sqlite3;1;-;-;;;887730
mopt;sqlite3;2;-;-;;;892117
mopt;sqlite3;3;60045;1;0.709751773;0.333333333;902491
mopt;sqlite3;4;-;-;;;891284
mopt;sqlite3;5;-;-;;;901011
mopt;sqlite3;6;-;-;;;906641
mopt;sqlite3;7;-;-;;;924176
mopt;sqlite3;8;-;-;;;923539
mopt;sqlite3;9;-;-;;;906903
mopt;sqlite3;10;-;-;;;898068
mopt;sqlite3;11;-;-;;;924970
mopt;sqlite3;12;-;-;;;917107
mopt;sqlite3;13;-;-;;;914996
mopt;sqlite3;14;-;-;;;915701
superion;sqlite3;0;-;-;;;193616
superion;sqlite3;1;-;-;;;1706073
superion;sqlite3;2;-;-;;;109912
superion;sqlite3;3;-;-;;;206186
superion;sqlite3;4;-;-;;;313146
superion;sqlite3;5;-;-;;;216381
superion;sqlite3;6;-;-;;;540139
superion;sqlite3;7;-;-;;;287285
superion;sqlite3;8;-;-;;;411711
superion;sqlite3;9;-;-;;;224078
superion;sqlite3;10;-;-;;;220770
superion;sqlite3;11;-;-;;;339399
superion;sqlite3;12;-;-;;;209689
superion;sqlite3;13;-;-;;;122018
superion;sqlite3;14;-;-;;;161164
